participantId,experimentId,reading_id,totalEvents,duration,focusTime_reading,focusTime_chat,focusTime_video,focusTime_audio,focusTime_infographics,reading_count,reading_totalDuration,scanning_count,scanning_totalDuration,scrolling_count,scrolling_totalDuration
66b9a0475a301eacdfb5e608,UMiVvY0HD0lxs0QCclZZ,UMiVvY0HD0lxs0QCclZZ_reading,44,1298726,1298726,0,0,0,0,24,1060303,3,8459,31,11312
66ba2139a67c5c99778a6766,zfhO001baQTcxlyTHgzj,zfhO001baQTcxlyTHgzj_reading,185,1456297,799202,657082,0,0,0,25,602536,18,56106,112,57188
66bd73db3481a3d17695c23e,o9t9sL52P5aU35AlvZE6,o9t9sL52P5aU35AlvZE6_reading,61,2184373,2184373,0,0,0,0,28,1028791,16,49968,34,22267
66be213d651dff72ff117b7d,7wrHj1gkxe7BpoTOuJ2w,7wrHj1gkxe7BpoTOuJ2w_reading,63,1331032,1331032,0,0,0,0,23,679656,9,31610,35,11951
66beb7a1951f8a18b03cd9c5,rFQRovjOT3N5qky91a6R,rFQRovjOT3N5qky91a6R_reading,104,1295644,1295644,0,0,0,0,37,1096897,13,42977,53,19815
66bfe5ecc23f1e2109f144d6,AUrGoBvvveLCZnuhHMJG,AUrGoBvvveLCZnuhHMJG_reading,563,1436676,1436676,0,0,0,0,40,1344301,8,24997,88,21934
66c33e386baa1ae990d7165d,HWh0JMtDFiICelV1rxbS,HWh0JMtDFiICelV1rxbS_reading,303,1538332,1532781,5547,0,0,0,37,1144259,20,61779,253,98888
66c344f0ca88e523ebbc35a2,MmueIydpYgOORBkBA329,MmueIydpYgOORBkBA329_reading,20,1533450,230265,1303184,0,0,0,5,64741,4,15072,11,9207
66c36df59f1061046b7ea01b,lOZOCeBUTY7wNFO8eQyi,lOZOCeBUTY7wNFO8eQyi_reading,45,1327716,1327715,0,0,0,0,6,989568,4,13917,35,15408
66c6b37d82e002e73e1fbd2d,rbt2TAYPVAL1KzSaaeot,rbt2TAYPVAL1KzSaaeot_reading,41,1413436,1302753,10652,100019.0,0,0,8,1265455,1,2647,31,17180
66c8842e8667d7d2dd040001,u68zJKU19oT5fF4K751O,u68zJKU19oT5fF4K751O_reading,67,1259128,1259128,0,0,0,0,36,675893,5,17810,26,11797
66c8ee23967e42b053411eee,SKYpbK9AAxArWSCnEPgU,SKYpbK9AAxArWSCnEPgU_reading,197,1410472,1333976,76299,0,0,0,18,1054456,16,52551,146,66945
66cc4546f9e3a25d2adc51c8,jVQd3EWqeZ72jHmHzR69,jVQd3EWqeZ72jHmHzR69_reading,106,1301330,779145,87304,0,0,434861.0,28,691045,11,35918,34,20316
66cdf006dc37b68c08c84ac5,8oGYYKjEy5AT1fjaEV81,8oGYYKjEy5AT1fjaEV81_reading,501,1619037,1101238,517159,0,0,0,41,636851,41,127426,297,166447
66d470efae87ffb63c6ee75b,XvZ9q1Q26oPEUZczfwn1,XvZ9q1Q26oPEUZczfwn1_reading,144,1325949,1036946,288994,0,0,0,20,866952,20,63841,87,44641
66d753769fda18f114e0e534,Rsq1UrIhWjscgFV84Bwh,Rsq1UrIhWjscgFV84Bwh_reading,225,1505504,588912,916546,0,0,0,29,282050,47,154120,125,54585
66d921d24ea620ae6b29d74b,0jfyW2yC02vnNyvPBdiw,0jfyW2yC02vnNyvPBdiw_reading,61,1274019,1262136,11875,0,0,0,36,1177397,4,11685,15,7900
66e04b2f9cd94406f2da8f42,XixJpaLZOwesdleeMjKp,XixJpaLZOwesdleeMjKp_reading,233,1481200,1441183,40010,0,0,0,50,911103,30,92771,133,80679
